,carat,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,cut,color,clarity,priceperpoint,carat_discrete
0,0.23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,1,1
1,0.21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,1,1
2,0.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,1,1
3,0.29,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,5,1,1
4,0.31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,7,7,1,1
5,0.24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,7,3,1,1
6,0.24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,6,2,1,1
7,0.26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,5,6,1,1
8,0.22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,5,1,1
9,0.23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,4,1,1
10,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,7,6,1,1
11,0.23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,4,1,1
12,0.22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,1,1
13,0.31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,7,1,1
14,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,7,1,1
15,0.32,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,8,1,1
16,0.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,7,1,1
17,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,7,6,1,1
18,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,7,6,1,1
19,0.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,7,6,1,1
20,0.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,6,7,1,1
21,0.23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,5,1,1
22,0.23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,4,1,1
23,0.31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,7,6,1,1
24,0.31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,7,6,1,1
25,0.23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,3,1,1
26,0.24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,6,4,1,1
27,0.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,7,5,1,1
28,0.23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,1,1
29,0.23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,1,1
30,0.23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,1,1
31,0.23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,1,1
32,0.23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,1,1
33,0.23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,1,1
34,0.23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,1,1
35,0.23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4,1,1
36,0.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,1,1
37,0.31,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,5,6,1,1
38,0.26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,1,1
39,0.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,7,1,1
40,0.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,7,1,1
